reference id,Pubchem_id,iupac_name,molecular_formula,molecular_weight,kegg_id,,,,
,10225,"1,6-dimethyl-4-propan-2-ylnaphthalene ",C15H18,198.3,Not available,,,,
10496,10496,"4,7-dioxadispiro[4.0.46.25]dodeca-1,9-diene-3,8-dione",C10H8O4,192.17,Not available,,,,
,11349,3-hydroxy-2-phenylchromen-4-one ,C15H10O3,238.24,C01495 ,,,,
10219,10219,"(2S,3R,11bS)-2-[[(1R)-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-1-yl]methyl]-3-ethyl-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizine",C29H40N2O4,480.6,C09421 ,,,,
11092,11092,1-(2-hydroxy-4-methoxyphenyl)ethanone ,C9H10O3,166.17,C10712 ,,,,
10207,10207,"1,8-dihydroxy-3-(hydroxymethyl)anthracene-9,10-dione ",C15H10O5,270.24,C10294 ,,,,
10098,10098,"(3S,3'R,3'aS,6'S,6aS,6bS,7'aR,9R,11aS,11bR)-3-hydroxy-3',6',10,11b-tetramethylspiro[1,2,3,4,6,6a,6b,7,8,11a-decahydrobenzo[a]fluorene-9,2'-3a,4,5,6,7,7a-hexahydro-3H-furo[3,2-b]pyridine]-11-one",C27H39NO3,425.6,C10811 ,,,,
101062551,101062551,"4-[[5,7-dihydroxy-2-methyl-2-(3-methylbut-2-enyl)-8-(2-methylpropanoyl)chromen-6-yl]methyl]-3,5-dihydroxy-6,6-dimethyl-2-(2-methylpropanoyl)cyclohexa-2,4-dien-1-one ",C32H40O8,552.7,Not available,,,,
10704987,10704987,"(2S,4aR,8aS)-2-(3-hydroxyprop-1-en-2-yl)-4a-methyl-8-methylidene-3,4,5,6,7,8a-hexahydro-1H-naphthalen-2-ol",C15H24O2,236.35,Not available,,,,
108064,108064,"(1S,2R,3R,7R)-1-methyl-7-prop-1-en-2-yl-1,2,3,4,5,6,7,8-octahydronaphthalene-2,3-diol",C14H22O2,222.32,C09715 ,,,,
108065,108065,"(3R)-2-(3,5-dihydroxy-4-methoxyphenyl)-8-[(2R,3R,4R)-3,5,7-trihydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-4-yl]-3,4-dihydro-2H-chromene-3,5,7-triol",C31H28O12,592.5,Not available,,,,
480819,480819,"1-(2,4-dihydroxyphenyl)-17-(6-hydroxy-1-benzofuran-2-yl)-11-methyl-2,20-dioxapentacyclo[11.7.1.03,8.09,21.014,19]henicosa-3(8),4,6,9(21),10,12,14,16,18-nonaene-5,15-diol",C34H22O8,558.5,Not available,,,,
100017,100017,"methyl 2-[6-(furan-3-yl)-7,9,11,15-tetramethyl-12,16-dioxo-3,17-dioxapentacyclo[9.6.1.02,9.04,8.015,18]octadeca-7,13-dien-10-yl]acetate",C27H30O7,466.5,Not available,,,,
484588,484588,"(2S)-5,7-dihydroxy-2-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",C25H28O5,408.5,Not available,,,,
485186,485186,"3-[2-(1,3-benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]propan-1-ol ",C19H18O5,326.3,Not available,,,,
480873,480873,"(6aR,11aR)-1-methoxy-10-(3-methylbut-2-enyl)-6a,11a-dihydro-6H-[1]benzofuro[3,2-c]chromene-3,9-diol",C21H22O5,354.4,Not available,,,,
480865,480865,"4-[(3R)-7-hydroxy-5-methoxy-6-(3-methylbut-2-enyl)-3,4-dihydro-2H-chromen-3-yl]-2-(3-methylbut-2-enyl)benzene-1,3-diol",C26H32O5,424.5,C16986 ,,,,
4788,4788,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one ",C15H14O5,274.27,C00774 ,,,,
479500,479500,"[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 2-methylpropanoate",C20H22O6,358.4,C17414 ,,,,
480764,480764,"(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",C20H20O5,340.4,C18023 ,,,,
44428631,44428631,"(E)-1-[2,4-dihydroxy-6-methoxy-3-[(2R)-5-methyl-2-prop-1-en-2-ylhex-4-enyl]phenyl]-3-(2,4-dihydroxyphenyl)prop-2-en-1-one",C26H30O6,438.5,Not available,,,,
