Pubchem_id,iupac_name,molecular_formula,molecular_weight,kegg_id
11349,3-hydroxy-2-phenylchromen-4-one ,C15H10O3,238.24,C01495 
10225,"1,6-dimethyl-4-propan-2-ylnaphthalene ",C15H18,198.30,Not available
10496,"4,7-dioxadispiro[4.0.46.25]dodeca-1,9-diene-3,8-dione",C10H8O4,192.17,Not available
10219,"(2S,3R,11bS)-2-[[(1R)-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-1-yl]methyl]-3-ethyl-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizine",C29H40N2O4,480.6 ,C09421 
11092,1-(2-hydroxy-4-methoxyphenyl)ethanone ,C9H10O3,166.17,C10712 
10207,"1,8-dihydroxy-3-(hydroxymethyl)anthracene-9,10-dione ",C15H10O5,270.24,C10294 
10098,"(3S,3'R,3'aS,6'S,6aS,6bS,7'aR,9R,11aS,11bR)-3-hydroxy-3',6',10,11b-tetramethylspiro[1,2,3,4,6,6a,6b,7,8,11a-decahydrobenzo[a]fluorene-9,2'-3a,4,5,6,7,7a-hexahydro-3H-furo[3,2-b]pyridine]-11-one",C27H39NO3,425.6 ,C10811 
101062551,"4-[[5,7-dihydroxy-2-methyl-2-(3-methylbut-2-enyl)-8-(2-methylpropanoyl)chromen-6-yl]methyl]-3,5-dihydroxy-6,6-dimethyl-2-(2-methylpropanoyl)cyclohexa-2,4-dien-1-one ",C32H40O8,552.7 ,Not available
10704987,"(2S,4aR,8aS)-2-(3-hydroxyprop-1-en-2-yl)-4a-methyl-8-methylidene-3,4,5,6,7,8a-hexahydro-1H-naphthalen-2-ol",C15H24O2,236.35,Not available
108064,"(1S,2R,3R,7R)-1-methyl-7-prop-1-en-2-yl-1,2,3,4,5,6,7,8-octahydronaphthalene-2,3-diol",C14H22O2,222.32,C09715 
